datadate,tic,name,current_assets,accounts_payable,long_term_debt,current_liabilities,preferred_stock,cost_of_goods_sold,nonoperating_income,operating_income,sales,income_taxes,interest_and_expense,depreciation_and_amortization,equity_in_net_loss,inventory_decrease,capital_expenditures,short_term_investments_change
20201231,SEM,SELECT MEDICAL HOLDINGS CORP,1594.0,177.087,4264.765,1438.366,0.0,4710.372,41.827,477.645,5531.713,111.867,153.011,207.843,29.44,0.0,146.44,0.0
20201231,WRN,WESTERN COPPER AND GOLD CORP,30.062,1.182,0.0,1.183,0.0,0.0,0.712,-2.745,0.0,0.0,0.0,0.0,0.0,0.0,5.311,0.0
20201231,CNSWF,CONSTELLATION SOFTWARE INC,1585.0,666.0,622.0,2040.0,0.0,2774.0,-63.0,687.0,3969.0,167.0,47.0,508.0,0.0,8.0,25.0,0.0
20201231,KBR,KBR INC,1634.0,574.0,1784.0,1455.0,0.0,5023.0,49.0,331.0,5767.0,26.0,83.0,115.0,30.0,0.0,20.0,0.0
20201231,MBGNF,MED BIOGENE INC,0.082,0.043,0.0,0.178,0.0,0.0,0.0,-0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201231,EEYUF,ESSENTIAL ENERGY SVCS LTD,61.89,5.093,7.854,14.388,0.0,75.755,0.211,-7.718,96.173,-2.594,1.604,19.141,0.0,4.236,1.944,0.0
20201231,SAENF,SOLAR ALLIANCE ENERGY INC,0.542,4.855,0.0,5.999,0.0,2.587,-0.15,-1.174,3.501,0.0,0.154,0.053,0.0,0.274,0.0,0.0
20201231,DALXF,SPARTAN DELTA CORP,24.69,34.149,42.913,45.898,0.0,39.325,-12.768,4.947,86.744,-6.625,3.011,24.845,0.0,0.0,16.82,0.0
20201231,INFU,INFUSYSTEM HOLDINGS INC,29.771,6.779,33.242,22.997,0.0,29.689,-0.029,9.585,97.388,-9.789,1.255,14.042,0.0,-0.102,16.914,0.0
20201231,EVR,EVERCORE INC,2374.604,37.961,638.793,1063.933,0.0,1664.02,14.398,598.495,2288.76,128.151,21.414,30.002,14.398,0.0,53.33,214.266
20201231,ORBC,ORBCOMM INC,136.162,14.323,221.697,61.468,0.406,114.726,-0.13,0.108,248.466,1.656,19.957,50.736,0.0,10.021,19.539,0.0
20201231,FOLD,AMICUS THERAPEUTICS INC,579.469,17.063,434.858,129.676,0.0,223.391,2.445,-243.854,260.886,2.598,22.425,10.64,0.0,-4.639,3.227,-10.352
20201231,BKUCF,BLUE SKY URANIUM CORP,1.262,0.581,0.0,2.021,0.0,0.0,0.376,-2.25,0.0,0.0,0.055,0.0,0.0,0.0,0.01,0.0
20201231,CFPUF,CANFOR PULP PRODUCTS INC,317.8,122.9,51.5,162.6,0.0,940.7,-3.7,-56.1,990.5,-8.2,3.6,82.2,0.0,5.2,73.3,0.0
20201231,ARMZF,AURA MINERALS INC,217.353,38.347,42.951,120.71,0.0,157.786,-17.213,93.232,299.874,7.007,7.386,25.206,0.0,-10.245,51.973,0.0
20201231,CELH,CELSIUS HOLDINGS INC,93.151,11.854,0.598,26.365,0.0,69.043,1.683,8.171,130.726,0.198,1.024,1.739,0.0,-3.859,0.574,0.0
20201231,SNMP,EVOLVE TRANSITION INFRAST LP,8.983,30.157,0.0,485.954,0.0,18.451,4.55,-27.416,56.993,0.024,95.871,48.429,4.479,0.0,1.827,0.0
20201231,WHYRF,WEST HIGH YIELD WHY RES LTD,0.081,2.345,1.606,5.109,0.0,0.0,0.0,-0.873,0.0,0.0,0.324,0.03,0.0,0.0,0.0,0.0
20201231,PIRGF,PREMIER GOLD MINES LTD,201.929,16.794,0.1,72.958,0.0,32.049,-5.232,-18.118,62.39,-0.071,2.776,14.944,0.0,3.412,11.483,0.0
20201231,YTEN,YIELD10 BIOSCIENCE INC,10.342,0.06,3.163,1.814,0.0,10.085,-0.874,-9.468,0.799,0.056,0.0,0.182,0.0,0.0,0.076,-0.579
20201231,ACKRF,AMERICAN CREEK RESOURCES LTD,8.705,0.167,0.0,0.192,0.0,0.0,3.003,-2.112,0.0,0.0,0.0,0.043,0.0,0.0,0.376,0.0
20201231,TIGCF,TRIUMPH GOLD CORP,4.459,0.205,0.106,0.297,0.0,0.0,0.26,-5.286,0.0,0.0,0.005,0.066,0.0,0.0,0.081,0.0
20201231,MIMZF,NIGHTHAWK GOLD CORP,9.437,1.584,0.0,1.584,0.0,0.0,1.628,-14.243,0.0,0.088,0.0,0.0,0.0,0.0,0.415,0.0
20201231,PCQRF,PETROLYMPIC LTD,0.136,0.06,0.04,0.922,0.0,0.0,-0.002,-0.337,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0
20201231,WCRS,WESTERN CAPITAL RESOURCES,63.617,7.074,6.697,17.128,0.0,59.564,0.31,12.769,135.067,2.79,0.041,8.046,0.0,-0.317,0.481,0.0
20201231,INFI,INFINITY PHARMACEUTICALS INC,36.02,2.982,1.436,11.047,0.0,0.554,0.45,-38.497,1.719,0.0,2.445,0.483,0.0,0.0,0.043,14.674
20201231,NEGXF,NEXGENRX INC,18.374,0.878,0.403,18.997,1.55,1.375,0.0,1.69,10.573,-0.306,0.349,0.963,0.0,0.0,0.121,0.0
20201231,PRRWF,PARK LAWN CORP,102.686,42.322,238.413,51.501,0.0,61.512,0.428,50.547,334.153,10.226,10.202,30.059,0.0,0.698,22.865,0.0
